index,site_id,page_id,keyword_id,similar_kw_id,phrases_count,country
125,0,0_1855,47,47,1,1
126,0,0_1891,47,47,1,1
127,0,0_2509,47,47,1,1
128,0,0_2511,47,47,1,1
129,0,0_4252,47,47,1,1
130,0,0_4270,47,47,1,1
131,0,0_4331,47,47,1,1
132,0,0_4335,47,47,1,1
133,0,0_4341,47,47,1,1
134,0,0_4348,47,47,1,1
135,0,0_4349,47,47,1,1
136,0,0_4377,47,47,1,1
137,0,0_4383,47,47,1,1
138,0,0_4385,47,47,1,1
139,0,0_4434,47,47,1,1
140,0,0_4437,47,47,1,1
141,0,0_4572,47,47,1,1
142,0,0_4576,47,47,1,1
143,0,0_4609,47,47,1,1
144,0,0_4612,47,47,1,1
145,0,0_4622,47,47,1,1
146,0,0_4623,47,47,1,1
147,0,0_4632,47,47,1,1
148,0,0_4634,47,47,1,1
149,0,0_4790,47,47,1,1
150,0,0_4886,47,47,1,1
151,0,0_4942,47,47,1,1
152,0,0_5039,47,47,1,1
153,0,0_1927,56,56,1,1
154,0,0_132,63,63,1,1
155,0,0_152,63,63,1,1
156,0,0_301,63,63,1,1
157,0,0_329,63,63,1,1
158,0,0_336,63,63,1,1
159,0,0_1314,63,63,1,1
160,0,0_1927,63,63,1,1
161,0,0_1938,63,63,1,1
162,0,0_2017,63,63,1,1
163,0,0_4084,63,63,1,1
164,0,0_4088,63,63,1,1
165,0,0_4091,63,63,1,1
166,0,0_4331,63,63,1,1
167,0,0_4777,63,63,1,1
168,0,0_4963,63,63,1,1
169,0,0_405,73,73,1,1
170,0,0_940,73,73,1,1
171,0,0_1414,73,73,1,1
172,0,0_2017,73,73,1,1
173,0,0_3425,73,73,1,1
174,0,0_3636,73,73,1,1
175,0,0_4078,73,73,1,1
176,0,0_4084,73,73,1,1
177,0,0_4114,73,73,1,1
178,0,0_4173,73,73,1,1
179,0,0_4191,73,73,1,1
180,0,0_4210,73,73,1,1
181,0,0_4227,73,73,1,1
182,0,0_4278,73,73,1,1
183,0,0_4304,73,73,1,1
184,0,0_4555,73,73,1,1
185,0,0_4583,73,73,1,1
186,0,0_4961,73,73,1,1
187,0,0_329,74,74,1,1
188,0,0_1531,74,74,1,1
189,0,0_2043,74,74,1,1
190,0,0_2065,74,74,1,1
191,0,0_4088,74,74,1,1
192,0,0_4434,74,74,1,1
193,0,0_4634,74,74,1,1
194,0,0_4943,74,74,1,1
195,0,0_201,76,76,1,1
196,0,0_284,76,76,1,1
197,0,0_301,76,76,1,1
198,0,0_329,76,76,1,1
199,0,0_336,76,76,1,1
200,0,0_1352,76,76,1,1
201,0,0_1531,76,76,1,1
202,0,0_1532,76,76,1,1
203,0,0_1824,76,76,1,1
204,0,0_4088,76,76,1,1
205,0,0_4091,76,76,1,1
206,0,0_4434,76,76,1,1
207,0,0_4578,76,76,1,1
208,0,0_4634,76,76,1,1
209,0,0_4777,76,76,1,1
